name,firm_type,countries,check_size,stages,lead_status,thesis,value_add,typical_terms,reply_rate,profile_url,source_category
LIFTT,VC firm,"USA, Singapore",$100k to $2M,"1. Idea or Patent, 2. Prototype",Sometimes,"We invest in HW B2B deep tech sectors like Energy, Quantum, Photonics, Semiconductors, Advanced Materials etc, . We look for breakthrough techs, which feature unique intellectual properties and exceptional scientific teams.","Our team of 27 includes dedicated project managers from various industries who support startups during their post-investment growth. Additionally, we benefit from a network of over 200 shareholders across multiple sectors..",,,https://www.openvc.app/fund/LIFTT,venture-capital-firms
Committed Capital,VC firm,UK,$1.5M to $6M,"4. Scaling, 5. Growth",Always,"We invest in Saas and B2B based software companies that solve a problem. We are sector agnostic, and have investee companies in insurtech, edtech, adtech or advertising, medtech or healthtech amongst others.","We are committed investors by name, and use our internal experience and expertise to guide investee companies. To that end, we are low volume but high conviction investors. We take a position on the board of all our investee companies as we work closely with the management team to help realise the growth potential, be that through advice or introductions.",,,https://www.openvc.app/fund/Committed%20Capital,venture-capital-firms
Energize Capital,VC firm,"Denmark, Germany",$10M to $20M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in the digitization of energy and sustainable industries.,,,,https://www.openvc.app/fund/Energize%20Capital,venture-capital-firms
Carya Venture Part...,VC firm,USA,$100k to $5M,"2. Prototype, 3. Early Revenue",Sometimes,We invest in various sectors.,,,,https://www.openvc.app/fund/Carya%20Venture%20Partners,venture-capital-firms
Elevate Capital,VC firm,"Germany, USA",$25k to $2M,"2. Prototype, 3. Early Revenue",Sometimes,We invest in seed and early-stage companies led by under-represented founders.,,,,https://www.openvc.app/fund/Elevate%20Capital,venture-capital-firms
Anterra Capital,VC firm,"France, Germany",$1M to $20M,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in fast-growing companies that are transforming the global food system, focusing on agtech, food and beverage, and supply chain management.",,,,https://www.openvc.app/fund/Anterra%20Capital,venture-capital-firms
Balderton Capital,VC firm,"Denmark, Finland",$100k to $20M,"3. Early Revenue, 4. Scaling",Sometimes,We invest in technology businesses.,,,,https://www.openvc.app/fund/Balderton%20Capital,venture-capital-firms
Klass Capital,VC firm,"Canada, USA",$5M to $50M,"4. Scaling, 5. Growth",Always,We invest in enterprise B2B SaaS startups with $3M+ in ARR. We prefer workflow applications.,We have a single LP structure that allows us to hold portcos for 15+ years and have a very collaborative portfolio and encourage cross company collaboration. We also have a talent team that works exclusively with portfolio companies to hire strategic positions.,,,https://www.openvc.app/fund/Klass%20Capital,venture-capital-firms
TRTL Ventures,VC firm,"India, UAE",$150k to $200k,"2. Prototype, 3. Early Revenue",Sometimes,"We invest in data-driven Indian founders and startups, sector agnostic.",We help founders with back office work and expansion into Japan and SEA.,,,https://www.openvc.app/fund/TRTL%20Ventures,venture-capital-firms
Riviera Holdings,VC firm,"USA, China",$50k to $500k,"1. Idea or Patent, 2. Prototype",Always,"We invest in AI, Pre-seed or seed round",Find ai companies,,,https://www.openvc.app/fund/Riviera%20Holdings,venture-capital-firms
